wandb: Currently logged in as: longyunbo218 (digitalai). Use `wandb login --relogin` to force relogin
wandb: wandb version 0.16.4 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.16.2
wandb: Run data is saved locally in /Users/yunbo/Documents/GitHub/PFL_Optimiozation/Model_training/1_cluster/wandb/run-20240309_123333-7wj0uurc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run crimson-wave-30
wandb: ⭐️ View project at https://wandb.ai/digitalai/CFL
wandb: 🚀 View run at https://wandb.ai/digitalai/CFL/runs/7wj0uurc
INFO flwr 2024-03-09 12:33:57,165 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-09 12:33:57,175 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-09 12:33:57,179 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-09 12:33:57,179 | connection.py:42 | ChannelConnectivity.READY
Epoch 1/10, Loss: 14947.0927
Epoch 2/10, Loss: 3615.8103
Epoch 3/10, Loss: 3397.5228
Epoch 4/10, Loss: 3320.0217
Epoch 5/10, Loss: 2814.5617
Epoch 6/10, Loss: 3107.9449
Epoch 7/10, Loss: 3387.8078
Epoch 8/10, Loss: 3135.4373
Epoch 9/10, Loss: 3450.4841
Epoch 10/10, Loss: 2391.7899
Performance Metrics:
RMSE (test data): 186.8373565673828
MAE (test data): 141.7415313720703
MAPE (test data): 67.23708510398865
MSE (test data): 34908.19921875
R2 (test data): -0.9784624676243041
loss (test data): 34908.19727909483
Epoch 1/10, Loss: 2339.7397
Epoch 2/10, Loss: 67.7577
Epoch 3/10, Loss: 52.3002
Epoch 4/10, Loss: 46.6844
Epoch 5/10, Loss: 37.0773
Epoch 6/10, Loss: 29.4560
Epoch 7/10, Loss: 42.1815
Epoch 8/10, Loss: 24.6004
Epoch 9/10, Loss: 33.3458
Epoch 10/10, Loss: 59.7740
Performance Metrics:
RMSE (test data): 134.30113220214844
MAE (test data): 102.6063003540039
MAPE (test data): 72.8482723236084
MSE (test data): 18036.79296875
R2 (test data): -0.02225611488227064
loss (test data): 18036.792820581897
Epoch 1/10, Loss: 918.1037
Epoch 2/10, Loss: 35.2571
Epoch 3/10, Loss: 13.6244
Epoch 4/10, Loss: 6.0194
Epoch 5/10, Loss: 6.1500
Epoch 6/10, Loss: 4.0825
Epoch 7/10, Loss: 3.3991
Epoch 8/10, Loss: 3.0736
Epoch 9/10, Loss: 6.4172
Epoch 10/10, Loss: 3.9628
Performance Metrics:
RMSE (test data): 102.87461853027344
MAE (test data): 81.59851837158203
MAPE (test data): 84.95835661888123
MSE (test data): 10583.1875
R2 (test data): 0.4001855987624259
loss (test data): 10583.187365301725
Epoch 1/10, Loss: 572.7791
Epoch 2/10, Loss: 19.7791
Epoch 3/10, Loss: 10.0745
Epoch 4/10, Loss: 12.5789
Epoch 5/10, Loss: 4.6593
Epoch 6/10, Loss: 4.3232
Epoch 7/10, Loss: 4.6919
Epoch 8/10, Loss: 4.3212
Epoch 9/10, Loss: 151.4622
Epoch 10/10, Loss: 11.1425
Performance Metrics:
RMSE (test data): 93.62723541259766
MAE (test data): 73.38472747802734
MAPE (test data): 88.72548341751099
MSE (test data): 8766.05859375
R2 (test data): 0.5031734367096183
loss (test data): 8766.059257139008
Epoch 1/10, Loss: 410.7771
Epoch 2/10, Loss: 9.3248
Epoch 3/10, Loss: 6.0973
Epoch 4/10, Loss: 5.3493
Epoch 5/10, Loss: 4.1844
Epoch 6/10, Loss: 3.1153
Epoch 7/10, Loss: 2.3889
Epoch 8/10, Loss: 2.4639
Epoch 9/10, Loss: 5.3216
Epoch 10/10, Loss: 3.0226
Performance Metrics:
RMSE (test data): 94.35088348388672
MAE (test data): 70.50281524658203
MAPE (test data): 85.91855764389038
MSE (test data): 8902.0888671875
R2 (test data): 0.4954638145306087
loss (test data): 8902.088786368535
Epoch 1/10, Loss: 501.5459
Epoch 2/10, Loss: 16.4160
Epoch 3/10, Loss: 11.3385
Epoch 4/10, Loss: 6.9364
Epoch 5/10, Loss: 7.2752
Epoch 6/10, Loss: 4.7563
Epoch 7/10, Loss: 4.0660
Epoch 8/10, Loss: 4.0496
Epoch 9/10, Loss: 4.0361
Epoch 10/10, Loss: 3.4867
Performance Metrics:
RMSE (test data): 89.04509735107422
MAE (test data): 70.50094604492188
MAPE (test data): 89.00306820869446
MSE (test data): 7929.029296875
R2 (test data): 0.5506130993739318
loss (test data): 7929.029010641164
Epoch 1/10, Loss: 756.5923
Epoch 2/10, Loss: 15.8124
Epoch 3/10, Loss: 12.2159
Epoch 4/10, Loss: 8.2069
Epoch 5/10, Loss: 6.2632
Epoch 6/10, Loss: 4.5674
Epoch 7/10, Loss: 4.2640
Epoch 8/10, Loss: 5.4877
Epoch 9/10, Loss: 4.3803
Epoch 10/10, Loss: 4.6683
Performance Metrics:
RMSE (test data): 83.942626953125
MAE (test data): 65.29823303222656
MAPE (test data): 90.12997150421143
MSE (test data): 7046.36474609375
R2 (test data): 0.6006391406943067
loss (test data): 7046.364419450431
Epoch 1/10, Loss: 370.3112
Epoch 2/10, Loss: 7.1512
Epoch 3/10, Loss: 5.3183
