INFO flwr 2024-03-09 12:33:46,591 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-09 12:33:46,630 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-09 12:33:46,631 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-09 12:33:46,631 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-09 12:33:55,636 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-09 12:33:55,639 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-09 12:33:55,640 | server.py:104 | FL starting
DEBUG flwr 2024-03-09 12:33:57,532 | server.py:222 | fit_round 1: strategy sampled 14 clients (out of 14)
DEBUG flwr 2024-03-09 12:34:06,972 | server.py:236 | fit_round 1 received 14 results and 0 failures
WARNING flwr 2024-03-09 12:34:06,983 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-09 12:34:06,983 | server.py:173 | evaluate_round 1: strategy sampled 14 clients (out of 14)
DEBUG flwr 2024-03-09 12:34:07,673 | server.py:187 | evaluate_round 1 received 14 results and 0 failures
DEBUG flwr 2024-03-09 12:34:07,675 | server.py:222 | fit_round 2: strategy sampled 14 clients (out of 14)
DEBUG flwr 2024-03-09 12:34:16,082 | server.py:236 | fit_round 2 received 14 results and 0 failures
DEBUG flwr 2024-03-09 12:34:16,088 | server.py:173 | evaluate_round 2: strategy sampled 14 clients (out of 14)
DEBUG flwr 2024-03-09 12:34:16,766 | server.py:187 | evaluate_round 2 received 14 results and 0 failures
DEBUG flwr 2024-03-09 12:34:16,767 | server.py:222 | fit_round 3: strategy sampled 14 clients (out of 14)
DEBUG flwr 2024-03-09 12:34:24,707 | server.py:236 | fit_round 3 received 14 results and 0 failures
DEBUG flwr 2024-03-09 12:34:24,713 | server.py:173 | evaluate_round 3: strategy sampled 14 clients (out of 14)
DEBUG flwr 2024-03-09 12:34:25,364 | server.py:187 | evaluate_round 3 received 14 results and 0 failures
DEBUG flwr 2024-03-09 12:34:25,366 | server.py:222 | fit_round 4: strategy sampled 14 clients (out of 14)
DEBUG flwr 2024-03-09 12:34:35,139 | server.py:236 | fit_round 4 received 14 results and 0 failures
DEBUG flwr 2024-03-09 12:34:35,148 | server.py:173 | evaluate_round 4: strategy sampled 14 clients (out of 14)
