INFO flwr 2024-03-09 18:45:16,262 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-09 18:45:16,282 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-09 18:45:16,283 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-09 18:45:16,284 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-09 18:45:24,753 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-09 18:45:24,753 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-09 18:45:24,753 | server.py:104 | FL starting
DEBUG flwr 2024-03-09 18:45:25,466 | server.py:222 | fit_round 1: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:31,470 | server.py:236 | fit_round 1 received 12 results and 0 failures
WARNING flwr 2024-03-09 18:45:31,475 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-09 18:45:31,475 | server.py:173 | evaluate_round 1: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:31,907 | server.py:187 | evaluate_round 1 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:31,908 | server.py:222 | fit_round 2: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:37,786 | server.py:236 | fit_round 2 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:37,792 | server.py:173 | evaluate_round 2: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:38,100 | server.py:187 | evaluate_round 2 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:38,100 | server.py:222 | fit_round 3: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:43,183 | server.py:236 | fit_round 3 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:43,188 | server.py:173 | evaluate_round 3: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:43,478 | server.py:187 | evaluate_round 3 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:43,479 | server.py:222 | fit_round 4: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:48,284 | server.py:236 | fit_round 4 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:48,288 | server.py:173 | evaluate_round 4: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:48,557 | server.py:187 | evaluate_round 4 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:48,558 | server.py:222 | fit_round 5: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:53,397 | server.py:236 | fit_round 5 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:53,403 | server.py:173 | evaluate_round 5: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:53,714 | server.py:187 | evaluate_round 5 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:53,715 | server.py:222 | fit_round 6: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:58,415 | server.py:236 | fit_round 6 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:58,419 | server.py:173 | evaluate_round 6: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:45:58,665 | server.py:187 | evaluate_round 6 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:45:58,665 | server.py:222 | fit_round 7: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:03,887 | server.py:236 | fit_round 7 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:03,893 | server.py:173 | evaluate_round 7: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:04,171 | server.py:187 | evaluate_round 7 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:04,172 | server.py:222 | fit_round 8: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:08,891 | server.py:236 | fit_round 8 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:08,895 | server.py:173 | evaluate_round 8: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:09,158 | server.py:187 | evaluate_round 8 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:09,159 | server.py:222 | fit_round 9: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:14,396 | server.py:236 | fit_round 9 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:14,400 | server.py:173 | evaluate_round 9: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:14,694 | server.py:187 | evaluate_round 9 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:14,694 | server.py:222 | fit_round 10: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:19,403 | server.py:236 | fit_round 10 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:19,407 | server.py:173 | evaluate_round 10: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:19,681 | server.py:187 | evaluate_round 10 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:19,681 | server.py:222 | fit_round 11: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:24,985 | server.py:236 | fit_round 11 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:24,988 | server.py:173 | evaluate_round 11: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:25,294 | server.py:187 | evaluate_round 11 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:25,294 | server.py:222 | fit_round 12: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:31,247 | server.py:236 | fit_round 12 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:31,252 | server.py:173 | evaluate_round 12: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:31,666 | server.py:187 | evaluate_round 12 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:31,667 | server.py:222 | fit_round 13: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:37,129 | server.py:236 | fit_round 13 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:37,134 | server.py:173 | evaluate_round 13: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:37,458 | server.py:187 | evaluate_round 13 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:37,459 | server.py:222 | fit_round 14: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:43,522 | server.py:236 | fit_round 14 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:43,527 | server.py:173 | evaluate_round 14: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:43,862 | server.py:187 | evaluate_round 14 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:43,862 | server.py:222 | fit_round 15: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:49,546 | server.py:236 | fit_round 15 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:49,552 | server.py:173 | evaluate_round 15: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:49,917 | server.py:187 | evaluate_round 15 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:49,918 | server.py:222 | fit_round 16: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:55,552 | server.py:236 | fit_round 16 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:55,557 | server.py:173 | evaluate_round 16: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:46:55,888 | server.py:187 | evaluate_round 16 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:46:55,889 | server.py:222 | fit_round 17: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:01,718 | server.py:236 | fit_round 17 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:47:01,722 | server.py:173 | evaluate_round 17: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:01,993 | server.py:187 | evaluate_round 17 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:47:01,994 | server.py:222 | fit_round 18: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:07,476 | server.py:236 | fit_round 18 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:47:07,484 | server.py:173 | evaluate_round 18: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:07,780 | server.py:187 | evaluate_round 18 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:47:07,781 | server.py:222 | fit_round 19: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:13,330 | server.py:236 | fit_round 19 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:47:13,335 | server.py:173 | evaluate_round 19: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:13,669 | server.py:187 | evaluate_round 19 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:47:13,670 | server.py:222 | fit_round 20: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:19,455 | server.py:236 | fit_round 20 received 12 results and 0 failures
DEBUG flwr 2024-03-09 18:47:19,460 | server.py:173 | evaluate_round 20: strategy sampled 12 clients (out of 12)
DEBUG flwr 2024-03-09 18:47:19,756 | server.py:187 | evaluate_round 20 received 12 results and 0 failures
