INFO flwr 2024-03-09 19:00:15,366 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-09 19:00:15,375 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-09 19:00:15,375 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-09 19:00:15,379 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-09 19:00:18,973 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-09 19:00:18,974 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-09 19:00:18,974 | server.py:104 | FL starting
DEBUG flwr 2024-03-09 19:00:19,051 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:20,438 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-09 19:00:20,439 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-09 19:00:20,439 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:20,472 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:20,473 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:21,610 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:21,611 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:21,642 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:21,642 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:22,679 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:22,680 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:22,709 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:22,710 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:23,903 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:23,904 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:23,936 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:23,936 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:24,957 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:24,958 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:24,988 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:24,989 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:25,991 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:25,992 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:26,024 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-09 19:00:26,024 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 19:00:27,209 | server.py:236 | fit_round 7 received 2 results and 0 failures
