INFO flwr 2024-03-10 07:31:50,212 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-10 07:31:50,226 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-10 07:31:50,226 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-10 07:31:50,230 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-10 07:31:53,659 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-10 07:31:53,659 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-10 07:31:53,659 | server.py:104 | FL starting
DEBUG flwr 2024-03-10 07:31:54,878 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:56,093 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-10 07:31:56,094 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-10 07:31:56,094 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:56,128 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:31:56,129 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:57,103 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:31:57,104 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:57,133 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:31:57,133 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:58,074 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:31:58,075 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:58,107 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:31:58,108 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:59,065 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:31:59,066 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:31:59,095 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:31:59,095 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:00,077 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:00,078 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:00,106 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:00,107 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:01,048 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:01,049 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:01,078 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:01,078 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:02,015 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:02,016 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:02,045 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:02,045 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:03,010 | server.py:236 | fit_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:03,011 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:03,040 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:03,040 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:03,987 | server.py:236 | fit_round 9 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:03,988 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:04,016 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:04,016 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:04,965 | server.py:236 | fit_round 10 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:04,966 | server.py:173 | evaluate_round 10: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:04,994 | server.py:187 | evaluate_round 10 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:04,995 | server.py:222 | fit_round 11: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:05,952 | server.py:236 | fit_round 11 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:05,954 | server.py:173 | evaluate_round 11: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:05,984 | server.py:187 | evaluate_round 11 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:05,984 | server.py:222 | fit_round 12: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:06,956 | server.py:236 | fit_round 12 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:06,957 | server.py:173 | evaluate_round 12: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:06,983 | server.py:187 | evaluate_round 12 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:06,984 | server.py:222 | fit_round 13: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:07,910 | server.py:236 | fit_round 13 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:07,911 | server.py:173 | evaluate_round 13: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:07,939 | server.py:187 | evaluate_round 13 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:07,939 | server.py:222 | fit_round 14: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:08,897 | server.py:236 | fit_round 14 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:08,898 | server.py:173 | evaluate_round 14: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:08,928 | server.py:187 | evaluate_round 14 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:08,928 | server.py:222 | fit_round 15: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:09,912 | server.py:236 | fit_round 15 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:09,913 | server.py:173 | evaluate_round 15: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:09,940 | server.py:187 | evaluate_round 15 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:09,940 | server.py:222 | fit_round 16: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:10,843 | server.py:236 | fit_round 16 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:10,844 | server.py:173 | evaluate_round 16: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:10,871 | server.py:187 | evaluate_round 16 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:10,872 | server.py:222 | fit_round 17: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:11,823 | server.py:236 | fit_round 17 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:11,824 | server.py:173 | evaluate_round 17: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 07:32:11,856 | server.py:187 | evaluate_round 17 received 2 results and 0 failures
DEBUG flwr 2024-03-10 07:32:11,856 | server.py:222 | fit_round 18: strategy sampled 2 clients (out of 2)
