INFO flwr 2024-03-10 07:46:37,011 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-10 07:46:37,036 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-10 07:46:37,037 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-10 07:46:37,038 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-10 07:46:43,253 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-10 07:46:43,254 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-10 07:46:43,254 | server.py:104 | FL starting
DEBUG flwr 2024-03-10 07:46:43,687 | server.py:222 | fit_round 1: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:46:48,336 | server.py:236 | fit_round 1 received 8 results and 0 failures
WARNING flwr 2024-03-10 07:46:48,339 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-10 07:46:48,339 | server.py:173 | evaluate_round 1: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:46:48,734 | server.py:187 | evaluate_round 1 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:46:48,735 | server.py:222 | fit_round 2: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:46:52,884 | server.py:236 | fit_round 2 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:46:52,886 | server.py:173 | evaluate_round 2: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:46:53,145 | server.py:187 | evaluate_round 2 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:46:53,146 | server.py:222 | fit_round 3: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:46:57,412 | server.py:236 | fit_round 3 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:46:57,416 | server.py:173 | evaluate_round 3: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:46:57,679 | server.py:187 | evaluate_round 3 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:46:57,680 | server.py:222 | fit_round 4: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:01,479 | server.py:236 | fit_round 4 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:01,481 | server.py:173 | evaluate_round 4: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:01,737 | server.py:187 | evaluate_round 4 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:01,738 | server.py:222 | fit_round 5: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:05,513 | server.py:236 | fit_round 5 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:05,517 | server.py:173 | evaluate_round 5: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:05,799 | server.py:187 | evaluate_round 5 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:05,799 | server.py:222 | fit_round 6: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:09,676 | server.py:236 | fit_round 6 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:09,679 | server.py:173 | evaluate_round 6: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:09,894 | server.py:187 | evaluate_round 6 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:09,894 | server.py:222 | fit_round 7: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:13,694 | server.py:236 | fit_round 7 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:13,697 | server.py:173 | evaluate_round 7: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:13,977 | server.py:187 | evaluate_round 7 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:13,978 | server.py:222 | fit_round 8: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:17,502 | server.py:236 | fit_round 8 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:17,505 | server.py:173 | evaluate_round 8: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:17,745 | server.py:187 | evaluate_round 8 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:17,746 | server.py:222 | fit_round 9: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:21,764 | server.py:236 | fit_round 9 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:21,767 | server.py:173 | evaluate_round 9: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:21,987 | server.py:187 | evaluate_round 9 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:21,988 | server.py:222 | fit_round 10: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:25,819 | server.py:236 | fit_round 10 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:25,823 | server.py:173 | evaluate_round 10: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:26,096 | server.py:187 | evaluate_round 10 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:26,097 | server.py:222 | fit_round 11: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:29,827 | server.py:236 | fit_round 11 received 8 results and 0 failures
DEBUG flwr 2024-03-10 07:47:29,830 | server.py:173 | evaluate_round 11: strategy sampled 8 clients (out of 8)
DEBUG flwr 2024-03-10 07:47:30,116 | server.py:187 | evaluate_round 11 received 8 results and 0 failures
