INFO flwr 2024-03-10 08:07:15,547 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-10 08:07:15,563 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-10 08:07:15,565 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-10 08:07:15,566 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-10 08:07:15,828 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-10 08:07:15,829 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-10 08:07:15,829 | server.py:104 | FL starting
DEBUG flwr 2024-03-10 08:07:16,198 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:17,611 | server.py:236 | fit_round 1 received 4 results and 0 failures
WARNING flwr 2024-03-10 08:07:17,613 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-10 08:07:17,613 | server.py:173 | evaluate_round 1: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:17,648 | server.py:187 | evaluate_round 1 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:17,649 | server.py:222 | fit_round 2: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:18,839 | server.py:236 | fit_round 2 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:18,840 | server.py:173 | evaluate_round 2: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:18,866 | server.py:187 | evaluate_round 2 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:18,867 | server.py:222 | fit_round 3: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:20,006 | server.py:236 | fit_round 3 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:20,007 | server.py:173 | evaluate_round 3: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:20,036 | server.py:187 | evaluate_round 3 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:20,037 | server.py:222 | fit_round 4: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:21,232 | server.py:236 | fit_round 4 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:21,234 | server.py:173 | evaluate_round 4: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:21,272 | server.py:187 | evaluate_round 4 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:21,272 | server.py:222 | fit_round 5: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:22,520 | server.py:236 | fit_round 5 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:22,521 | server.py:173 | evaluate_round 5: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:22,553 | server.py:187 | evaluate_round 5 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:22,553 | server.py:222 | fit_round 6: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:23,814 | server.py:236 | fit_round 6 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:23,818 | server.py:173 | evaluate_round 6: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:23,851 | server.py:187 | evaluate_round 6 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:23,852 | server.py:222 | fit_round 7: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:25,348 | server.py:236 | fit_round 7 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:25,351 | server.py:173 | evaluate_round 7: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:25,395 | server.py:187 | evaluate_round 7 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:25,398 | server.py:222 | fit_round 8: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:26,970 | server.py:236 | fit_round 8 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:26,971 | server.py:173 | evaluate_round 8: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:27,001 | server.py:187 | evaluate_round 8 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:27,001 | server.py:222 | fit_round 9: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:28,293 | server.py:236 | fit_round 9 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:28,295 | server.py:173 | evaluate_round 9: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:28,331 | server.py:187 | evaluate_round 9 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:28,331 | server.py:222 | fit_round 10: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:29,495 | server.py:236 | fit_round 10 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:29,496 | server.py:173 | evaluate_round 10: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:29,522 | server.py:187 | evaluate_round 10 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:29,523 | server.py:222 | fit_round 11: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:30,611 | server.py:236 | fit_round 11 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:30,613 | server.py:173 | evaluate_round 11: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:30,646 | server.py:187 | evaluate_round 11 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:30,647 | server.py:222 | fit_round 12: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:31,768 | server.py:236 | fit_round 12 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:31,771 | server.py:173 | evaluate_round 12: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:31,806 | server.py:187 | evaluate_round 12 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:31,807 | server.py:222 | fit_round 13: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:33,027 | server.py:236 | fit_round 13 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:33,029 | server.py:173 | evaluate_round 13: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:33,062 | server.py:187 | evaluate_round 13 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:33,062 | server.py:222 | fit_round 14: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:34,224 | server.py:236 | fit_round 14 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:34,227 | server.py:173 | evaluate_round 14: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:34,269 | server.py:187 | evaluate_round 14 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:34,271 | server.py:222 | fit_round 15: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:35,402 | server.py:236 | fit_round 15 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:35,404 | server.py:173 | evaluate_round 15: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:35,443 | server.py:187 | evaluate_round 15 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:35,444 | server.py:222 | fit_round 16: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:36,530 | server.py:236 | fit_round 16 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:36,532 | server.py:173 | evaluate_round 16: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:36,566 | server.py:187 | evaluate_round 16 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:36,567 | server.py:222 | fit_round 17: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:37,750 | server.py:236 | fit_round 17 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:37,752 | server.py:173 | evaluate_round 17: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:37,784 | server.py:187 | evaluate_round 17 received 4 results and 0 failures
DEBUG flwr 2024-03-10 08:07:37,785 | server.py:222 | fit_round 18: strategy sampled 4 clients (out of 4)
DEBUG flwr 2024-03-10 08:07:38,918 | server.py:236 | fit_round 18 received 4 results and 0 failures
