INFO flwr 2024-03-10 08:09:44,509 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-10 08:09:44,524 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-10 08:09:44,525 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-10 08:09:44,527 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-10 08:09:48,572 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-10 08:09:48,572 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-10 08:09:48,573 | server.py:104 | FL starting
DEBUG flwr 2024-03-10 08:09:48,618 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:49,712 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-10 08:09:49,713 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-10 08:09:49,713 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:49,736 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:49,736 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:50,485 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:50,487 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:50,508 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:50,508 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:51,381 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:51,382 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:51,403 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:51,404 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:52,488 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:52,489 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:52,511 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:52,512 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:53,546 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:53,547 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:53,571 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:53,572 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:54,438 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:54,439 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:54,459 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:54,459 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:55,277 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:55,278 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:55,299 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:55,299 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:56,197 | server.py:236 | fit_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:56,199 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:56,225 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:56,226 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:57,306 | server.py:236 | fit_round 9 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:09:57,308 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:09:57,333 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
