INFO flwr 2024-03-10 08:11:49,336 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-10 08:11:49,354 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-10 08:11:49,355 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-10 08:11:49,356 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-10 08:11:53,330 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-10 08:11:53,331 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-10 08:11:53,331 | server.py:104 | FL starting
DEBUG flwr 2024-03-10 08:11:53,331 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:54,318 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-10 08:11:54,319 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-10 08:11:54,319 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:54,341 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:54,341 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:55,154 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:55,155 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:55,176 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:55,176 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:56,063 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:56,065 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:56,089 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:56,089 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:57,058 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:57,060 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:57,084 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:57,085 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:58,025 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:58,026 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:58,046 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:58,047 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:58,892 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:58,893 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:58,913 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:58,913 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:59,727 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:59,728 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:11:59,748 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:11:59,748 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:12:00,699 | server.py:236 | fit_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:12:00,701 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:12:00,725 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:12:00,725 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-10 08:12:01,709 | server.py:236 | fit_round 9 received 2 results and 0 failures
DEBUG flwr 2024-03-10 08:12:01,710 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
