INFO flwr 2024-02-12 14:29:13,325 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-02-12 14:29:13,388 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-02-12 14:29:13,388 | server.py:89 | Initializing global parameters
INFO flwr 2024-02-12 14:29:13,389 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-02-12 14:30:19,598 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-02-12 14:30:19,598 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-02-12 14:30:19,598 | server.py:104 | FL starting
DEBUG flwr 2024-02-12 14:31:06,612 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:11,059 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-02-12 14:31:11,060 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-02-12 14:31:11,060 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:11,829 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:11,829 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:15,815 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:15,816 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:16,198 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:16,199 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:20,149 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:20,150 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:20,460 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:20,461 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:24,327 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:24,328 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:24,557 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:24,558 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:31:28,457 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:31:28,458 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
