INFO flwr 2024-02-12 14:34:27,705 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-02-12 14:34:27,758 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-02-12 14:34:27,759 | server.py:89 | Initializing global parameters
INFO flwr 2024-02-12 14:34:27,759 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-02-12 14:34:49,935 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-02-12 14:34:49,936 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-02-12 14:34:49,936 | server.py:104 | FL starting
DEBUG flwr 2024-02-12 14:34:56,971 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:34:58,876 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-02-12 14:34:58,878 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-02-12 14:34:58,878 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:34:59,788 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:34:59,789 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:01,280 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:01,281 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:01,592 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:01,593 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:03,150 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:03,152 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:03,389 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:03,389 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:04,997 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:04,999 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:05,209 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:05,209 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:06,643 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:06,644 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:06,922 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:06,923 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:08,464 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:08,465 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:08,713 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:08,714 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:10,335 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:10,337 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:10,540 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:10,540 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:11,971 | server.py:236 | fit_round 8 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:11,972 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:12,213 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:12,214 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:13,790 | server.py:236 | fit_round 9 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:13,791 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:14,041 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:14,042 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:15,666 | server.py:236 | fit_round 10 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:15,668 | server.py:173 | evaluate_round 10: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:15,893 | server.py:187 | evaluate_round 10 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:15,894 | server.py:222 | fit_round 11: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:17,342 | server.py:236 | fit_round 11 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:17,343 | server.py:173 | evaluate_round 11: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:17,563 | server.py:187 | evaluate_round 11 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:17,563 | server.py:222 | fit_round 12: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:19,094 | server.py:236 | fit_round 12 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:19,095 | server.py:173 | evaluate_round 12: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 14:35:19,431 | server.py:187 | evaluate_round 12 received 2 results and 0 failures
DEBUG flwr 2024-02-12 14:35:19,432 | server.py:222 | fit_round 13: strategy sampled 2 clients (out of 2)
