INFO flwr 2024-02-12 15:58:18,264 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-02-12 15:58:18,323 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-02-12 15:58:18,323 | server.py:89 | Initializing global parameters
INFO flwr 2024-02-12 15:58:18,323 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-02-12 15:58:31,062 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-02-12 15:58:31,062 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-02-12 15:58:31,062 | server.py:104 | FL starting
DEBUG flwr 2024-02-12 15:58:33,758 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:37,804 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-02-12 15:58:37,807 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-02-12 15:58:37,807 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:38,664 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:38,666 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:42,070 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:42,071 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:42,421 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:42,422 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:46,109 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:46,110 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:46,470 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:46,471 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:49,780 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:49,781 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:50,105 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:50,106 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:53,315 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:53,317 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:53,638 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:53,638 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:57,029 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:57,030 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:58:57,357 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:58:57,357 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:59:00,782 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:59:00,783 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:59:01,104 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-02-12 15:59:01,104 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 15:59:04,399 | server.py:236 | fit_round 8 received 2 results and 0 failures
