INFO flwr 2024-02-12 20:40:18,350 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-02-12 20:40:18,452 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-02-12 20:40:18,453 | server.py:89 | Initializing global parameters
INFO flwr 2024-02-12 20:40:18,453 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-02-12 20:40:32,587 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-02-12 20:40:32,587 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-02-12 20:40:32,587 | server.py:104 | FL starting
DEBUG flwr 2024-02-12 20:45:13,651 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:14,742 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-02-12 20:45:14,743 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-02-12 20:45:14,744 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:15,545 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-02-12 20:45:15,546 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:16,564 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 20:45:16,565 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:16,889 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-12 20:45:16,890 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:17,802 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 20:45:17,803 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:18,071 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-12 20:45:18,071 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:19,068 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 20:45:19,069 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-12 20:45:19,298 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-12 20:45:19,300 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
