INFO flwr 2024-02-13 14:27:27,487 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-02-13 14:27:27,546 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-02-13 14:27:27,552 | server.py:89 | Initializing global parameters
INFO flwr 2024-02-13 14:27:27,552 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-02-13 14:27:31,597 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-02-13 14:27:31,597 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-02-13 14:27:31,598 | server.py:104 | FL starting
DEBUG flwr 2024-02-13 14:27:31,696 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:33,171 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-02-13 14:27:33,172 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-02-13 14:27:33,173 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:33,983 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:33,984 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:35,198 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:35,199 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:35,415 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:35,415 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:36,561 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:36,562 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:36,902 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:36,903 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:38,036 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:38,037 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:38,267 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:38,268 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:39,435 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:39,436 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:39,670 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:39,670 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:40,732 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:40,733 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:40,988 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:40,989 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:42,193 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:42,194 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:42,418 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:42,418 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:43,547 | server.py:236 | fit_round 8 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:43,548 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:43,814 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:43,815 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:44,919 | server.py:236 | fit_round 9 received 2 results and 0 failures
DEBUG flwr 2024-02-13 14:27:44,920 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-02-13 14:27:45,147 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
