INFO flwr 2024-03-09 11:58:30,994 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-09 11:58:31,008 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-09 11:58:31,010 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-09 11:58:31,010 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-09 11:58:35,469 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-09 11:58:35,470 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-09 11:58:35,471 | server.py:104 | FL starting
DEBUG flwr 2024-03-09 11:58:35,546 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:37,635 | server.py:236 | fit_round 1 received 3 results and 0 failures
WARNING flwr 2024-03-09 11:58:37,636 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-09 11:58:37,637 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:37,691 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:37,692 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:39,482 | server.py:236 | fit_round 2 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:39,485 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:39,541 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:39,542 | server.py:222 | fit_round 3: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:41,345 | server.py:236 | fit_round 3 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:41,347 | server.py:173 | evaluate_round 3: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:41,396 | server.py:187 | evaluate_round 3 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:41,397 | server.py:222 | fit_round 4: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:43,270 | server.py:236 | fit_round 4 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:43,272 | server.py:173 | evaluate_round 4: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:43,323 | server.py:187 | evaluate_round 4 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:43,324 | server.py:222 | fit_round 5: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:45,253 | server.py:236 | fit_round 5 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:45,255 | server.py:173 | evaluate_round 5: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:45,307 | server.py:187 | evaluate_round 5 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:45,307 | server.py:222 | fit_round 6: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:47,192 | server.py:236 | fit_round 6 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:47,194 | server.py:173 | evaluate_round 6: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:47,251 | server.py:187 | evaluate_round 6 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:47,252 | server.py:222 | fit_round 7: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:49,141 | server.py:236 | fit_round 7 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:49,143 | server.py:173 | evaluate_round 7: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:49,185 | server.py:187 | evaluate_round 7 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:49,186 | server.py:222 | fit_round 8: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-03-09 11:58:51,180 | server.py:236 | fit_round 8 received 3 results and 0 failures
DEBUG flwr 2024-03-09 11:58:51,181 | server.py:173 | evaluate_round 8: strategy sampled 3 clients (out of 3)
