INFO flwr 2024-03-09 12:06:50,125 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-03-09 12:06:50,141 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-03-09 12:06:50,142 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-09 12:06:50,143 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-09 12:06:54,342 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-09 12:06:54,342 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-09 12:06:54,343 | server.py:104 | FL starting
DEBUG flwr 2024-03-09 12:06:54,381 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:06:59,547 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-09 12:06:59,550 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-03-09 12:06:59,550 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:06:59,903 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:06:59,905 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:04,597 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:04,599 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:04,927 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:04,928 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:09,603 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:09,605 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:09,910 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:09,911 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:14,453 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:14,456 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:14,759 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:14,760 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:19,490 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:19,491 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:19,810 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:19,810 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:24,556 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:24,562 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:24,992 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:24,993 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:29,924 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:29,926 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:30,249 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:30,250 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:35,148 | server.py:236 | fit_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:35,150 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:35,491 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:35,492 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:40,440 | server.py:236 | fit_round 9 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:40,441 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:40,760 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:40,761 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:45,534 | server.py:236 | fit_round 10 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:45,537 | server.py:173 | evaluate_round 10: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:45,849 | server.py:187 | evaluate_round 10 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:45,850 | server.py:222 | fit_round 11: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:50,501 | server.py:236 | fit_round 11 received 2 results and 0 failures
DEBUG flwr 2024-03-09 12:07:50,502 | server.py:173 | evaluate_round 11: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-03-09 12:07:50,837 | server.py:187 | evaluate_round 11 received 2 results and 0 failures
