0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,,,
4.6e-05,0.01482,0.003137,0.000107,0.004142,0.017323,0.027792,0.002439,6.3e-05,0.003991,0.013586,3.7e-05,0.021592,0.011354
0.01482,0.00036,0.002493,0.00137,0.037548,0.002019,0.006304,0.011617,0.00198,0.015869,0.002035,0.024183,0.000853,0.003481
0.003137,0.002493,7e-05,0.004434,0.001806,0.000742,0.006465,0.00096,0.007689,0.001812,0.001906,0.007582,0.001303,0.001063
0.000107,0.00137,0.004434,0.000257,0.025172,0.021051,0.028885,0.015249,0.000185,0.015284,0.054616,0.000222,0.007464,0.013784
0.004142,0.037548,0.001806,0.025172,0.000552,0.000213,0.000858,0.00047,0.012917,0.000929,0.002269,0.005638,0.002318,0.060809
0.017323,0.002019,0.000742,0.021051,0.000213,0.000426,0.0079,0.010459,0.018355,0.027782,0.000101,0.053562,0.004645,0.009413
0.027792,0.006304,0.006465,0.028885,0.000858,0.0079,0.000127,0.000557,0.013135,0.000827,0.010181,0.047769,0.007145,0.007976
0.002439,0.011617,0.00096,0.015249,0.00047,0.010459,0.000557,0.000142,0.005375,0.000256,0.009176,0.007302,0.000932,0.000294
6.3e-05,0.00198,0.007689,0.000185,0.012917,0.018355,0.013135,0.005375,2.1e-05,0.01776,0.033725,1.8e-05,0.009196,0.008858
0.003991,0.015869,0.001812,0.015284,0.000929,0.027782,0.000827,0.000256,0.01776,3.2e-05,0.019638,0.018799,0.000608,0.000266
0.013586,0.002035,0.001906,0.054616,0.002269,0.000101,0.010181,0.009176,0.033725,0.019638,0.00083,0.07581,0.00771,0.011778
3.7e-05,0.024183,0.007582,0.000222,0.005638,0.053562,0.047769,0.007302,1.8e-05,0.018799,0.07581,1.9e-05,0.008853,0.019363
0.021592,0.000853,0.001303,0.007464,0.002318,0.004645,0.007145,0.000932,0.009196,0.000608,0.00771,0.008853,0.000385,0.000542
0.011354,0.003481,0.001063,0.013784,0.060809,0.009413,0.007976,0.000294,0.008858,0.000266,0.011778,0.019363,0.000542,0.000373
,,,,,,,,,,,,,
4.6e-05,0.01482,0.003137,0.000107,0.004142,0.017323,0.027792,0.002439,6.3e-05,0.003991,0.013586,3.7e-05,0.021592,0.011354
0.01482,0.00036,0.002493,0.00137,0.037548,0.002019,0.006304,0.011617,0.00198,0.015869,0.002035,0.024183,0.000853,0.003481
0.003137,0.002493,7e-05,0.004434,0.001806,0.000742,0.006465,0.00096,0.007689,0.001812,0.001906,0.007582,0.001303,0.001063
0.000107,0.00137,0.004434,0.000257,0.025172,0.021051,0.028885,0.015249,0.000185,0.015284,0.054616,0.000222,0.007464,0.013784
0.004142,0.037548,0.001806,0.025172,0.000552,0.000213,0.000858,0.00047,0.012917,0.000929,0.002269,0.005638,0.002318,0.060809
0.017323,0.002019,0.000742,0.021051,0.000213,0.000426,0.0079,0.010459,0.018355,0.027782,0.000101,0.053562,0.004645,0.009413
0.027792,0.006304,0.006465,0.028885,0.000858,0.0079,0.000127,0.000557,0.013135,0.000827,0.010181,0.047769,0.007145,0.007976
0.002439,0.011617,0.00096,0.015249,0.00047,0.010459,0.000557,0.000142,0.005375,0.000256,0.009176,0.007302,0.000932,0.000294
6.3e-05,0.00198,0.007689,0.000185,0.012917,0.018355,0.013135,0.005375,2.1e-05,0.01776,0.033725,1.8e-05,0.009196,0.008858
