0,1,2,3,4,5,6
,,,,,,
1e-05,0.000431,0.005721,0.000267,0.021092,0.016859,0.019372
0.000431,0.000199,0.020751,0.001854,0.001245,0.005473,0.001746
0.005721,0.020751,0.000263,0.000233,0.001917,0.000292,0.003744
0.000267,0.001854,0.000233,7.3e-05,0.010269,0.001158,0.005494
0.021092,0.001245,0.001917,0.010269,0.000282,0.001924,0.001698
0.016859,0.005473,0.000292,0.001158,0.001924,0.000425,0.001084
0.019372,0.001746,0.003744,0.005494,0.001698,0.001084,0.000598
0.039672,0.005398,0.006874,0.010386,0.001437,0.002079,0.000487
5.2e-05,0.000454,0.016633,4.5e-05,0.008651,0.025312,0.013777
0.05109,0.003493,0.002615,0.005303,0.004006,0.009743,0.000405
0.014627,0.000317,0.003099,0.000762,0.000554,0.001248,0.000293
2e-05,0.000505,0.013027,0.000148,0.008792,0.055268,0.031632
0.004207,0.018901,0.003812,0.002381,0.002704,0.000533,0.00041
0.009914,0.010154,0.008662,0.006827,0.00064,0.00767,0.000334
,,,,,,
0.039672,5.2e-05,0.05109,0.014627,2e-05,0.004207,0.009914
0.005398,0.000454,0.003493,0.000317,0.000505,0.018901,0.010154
0.006874,0.016633,0.002615,0.003099,0.013027,0.003812,0.008662
0.010386,4.5e-05,0.005303,0.000762,0.000148,0.002381,0.006827
0.001437,0.008651,0.004006,0.000554,0.008792,0.002704,0.00064
0.002079,0.025312,0.009743,0.001248,0.055268,0.000533,0.00767
0.000487,0.013777,0.000405,0.000293,0.031632,0.00041,0.000334
2.3e-05,0.014394,0.000385,0.002407,0.024428,0.000218,0.000348
0.014394,4.1e-05,0.004001,0.008833,1.7e-05,0.017879,0.021229
0.000385,0.004001,0.000371,0.00087,0.023951,0.026444,0.000366
0.002407,0.008833,0.00087,0.000124,0.006994,0.000503,0.000603
0.024428,1.7e-05,0.023951,0.006994,2.4e-05,0.02504,0.041268
0.000218,0.017879,0.026444,0.000503,0.02504,3.9e-05,0.003087
0.000348,0.021229,0.000366,0.000603,0.041268,0.003087,0.00035
,,,,,,
1e-05,0.000431,0.005721,0.000267,0.021092,0.016859,0.019372
0.000431,0.000199,0.020751,0.001854,0.001245,0.005473,0.001746
0.005721,0.020751,0.000263,0.000233,0.001917,0.000292,0.003744
0.000267,0.001854,0.000233,7.3e-05,0.010269,0.001158,0.005494
0.021092,0.001245,0.001917,0.010269,0.000282,0.001924,0.001698
0.016859,0.005473,0.000292,0.001158,0.001924,0.000425,0.001084
0.019372,0.001746,0.003744,0.005494,0.001698,0.001084,0.000598
