2024-10-02 00:21:53,561 INFO    MainThread:12449 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_setup.py:_flush():76] Configure stats pid to 12449
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_setup.py:_flush():76] Loading settings from /Users/yunbo/.config/wandb/settings
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_setup.py:_flush():76] Loading settings from /Users/yunbo/Documents/GitHub/PFL_Optimiozation/wandb/settings
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Local_learning/Transformer_local.py', 'program_abspath': '/Users/yunbo/Documents/GitHub/PFL_Optimiozation/Local_learning/Transformer_local.py', 'program': '/Users/yunbo/Documents/GitHub/PFL_Optimiozation/Local_learning/Transformer_local.py'}
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_init.py:_log_setup():526] Logging user logs to /Users/yunbo/Documents/GitHub/PFL_Optimiozation/wandb/run-20241002_002153-cum8mdan/logs/debug.log
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/yunbo/Documents/GitHub/PFL_Optimiozation/wandb/run-20241002_002153-cum8mdan/logs/debug-internal.log
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_init.py:init():566] calling init triggers
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'region': 'Southeast Asia'}
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_init.py:init():616] starting backend
2024-10-02 00:21:53,562 INFO    MainThread:12449 [wandb_init.py:init():620] setting up manager
2024-10-02 00:21:53,565 INFO    MainThread:12449 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-02 00:21:53,566 INFO    MainThread:12449 [wandb_init.py:init():628] backend started and connected
2024-10-02 00:21:53,569 INFO    MainThread:12449 [wandb_init.py:init():720] updated telemetry
2024-10-02 00:21:53,587 INFO    MainThread:12449 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-10-02 00:21:53,940 INFO    MainThread:12449 [wandb_run.py:_on_init():2254] communicating current version
2024-10-02 00:21:53,994 INFO    MainThread:12449 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.18.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-10-02 00:21:53,995 INFO    MainThread:12449 [wandb_init.py:init():804] starting run threads in backend
2024-10-02 00:22:03,692 INFO    MainThread:12449 [wandb_run.py:_console_start():2233] atexit reg
2024-10-02 00:22:03,693 INFO    MainThread:12449 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-10-02 00:22:03,693 INFO    MainThread:12449 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-10-02 00:22:03,693 INFO    MainThread:12449 [wandb_run.py:_redirect():2178] Redirects installed.
2024-10-02 00:22:03,693 INFO    MainThread:12449 [wandb_init.py:init():847] run started, returning control to user process
2024-10-02 00:22:03,710 INFO    MainThread:12449 [wandb_run.py:_finish():1962] finishing run digitalai/CFL_transformer_local/cum8mdan
2024-10-02 00:22:03,710 INFO    MainThread:12449 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 1
2024-10-02 00:22:03,710 INFO    MainThread:12449 [wandb_run.py:_restore():2185] restore
2024-10-02 00:22:03,711 INFO    MainThread:12449 [wandb_run.py:_restore():2191] restore done
2024-10-02 00:22:10,931 INFO    MainThread:12449 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-10-02 00:22:10,931 INFO    MainThread:12449 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-10-02 00:22:10,933 INFO    MainThread:12449 [wandb_run.py:_footer_sync_info():3816] logging synced files
